Activity_ID,ActivityNumber,ActivityName,SeasonName,ChildSeasonName,Type,CategoryName,OtherCategoryName,RiskCategoryName,EnrollMin,EnrollMax,NumberEnrolled,BeginningDate,EndingDate,StartingTime,EndingTime,AgesMin,AgesMinMonth,AgesMinWeek,AgesMax,AgesMaxMonth,AgesMaxWeek,GradeMin,GradeMax,WeekDays,PrimaryInstructorName,NumberOfHours,NumberOfDates,ActivityLocation,FeeDescription,AccountName,KeyFeesTotal,OtherFeesTotal,FeeSummary,Description,PublicURL
67414,73233,Chinese Culture & Language Class,Winter 2025,Winter 2025: Term 2,Activity,"Academic Preparedness, Career & Cont. Ed",,,5,12,0,1/23/2025,3/20/2025,4:15 PM,5:15 PM,7,0,0,12,0,0,,,Th,,8,8,Ballard CC Pottery Room at Ballard Community Center,Activity Fee,BAL Class Youth Recreation,190,0,Standard charge: $190.00,"The depth of the Chinese culture is infinite and begging to be explored.  Learn about this amazing culture, its people and some basic Chinese language to help broaden your knowledge of this mysterious, ancient and ever-changing culture.",http://apm.activecommunities.com/seattle/Activity_Search/67414
68101,73920,College Exploration Program,Winter 2025,Winter 2025: Term 2,Activity,"Academic Preparedness, Career & Cont. Ed",,,2,10,2,4/3/2025,4/3/2025,4:00 PM,6:00 PM,15,0,0,19,0,0,,,Th,,2,1,Garfield CC Teen Room at Garfield Community Center,,,0,0,Free,"Need help navigating the road to college? We can assist you with admissions requirements, in-depth school profiles and rankings, finding scholarships and grant opportunities, and understanding the college application process.",http://apm.activecommunities.com/seattle/Activity_Search/68101
67505,73324,Life Transitions - Navigating Healthcare & Aging Care,Winter 2025,Winter 2025: Term 2,Activity,"Academic Preparedness, Career & Cont. Ed",,,4,15,15,3/19/2025,3/19/2025,1:30 PM,2:30 PM,50,0,0,0,0,0,,,W,,1,1,Northgate CC Arts & Crafts - Small at Northgate Community Center,Activity Fee,LLR Class Senior Adult - NE,0,0,Standard charge: Free,"Learn about navigating healthcare options and resources for aging care, along with myth busters regarding the process, in this 1 hour class from experts in the industry.",http://apm.activecommunities.com/seattle/Activity_Search/67505
67495,73314,"Life Transitions - Organizing, Downsizing",Winter 2025,Winter 2025: Term 2,Activity,"Academic Preparedness, Career & Cont. Ed",,,4,15,15,2/19/2025,2/19/2025,1:30 PM,2:30 PM,50,0,0,0,0,0,,,W,,1,1,Northgate CC Arts & Crafts - Small at Northgate Community Center,Activity Fee,LLR Class Senior Adult - NE,0,0,Standard charge: Free,Didn't make it into this workshop last Fall? We're offering it again! Come to this 1 hour class to learn tips and options about  organizing and downsizing from experts in the industry!,http://apm.activecommunities.com/seattle/Activity_Search/67495
67496,73315,Life Transitions - Wills & Trusts,Winter 2025,Winter 2025: Term 2,Activity,"Academic Preparedness, Career & Cont. Ed",,,4,15,15,1/15/2025,1/15/2025,1:30 PM,2:30 PM,50,0,0,0,0,0,,,W,,1,1,Northgate CC Arts & Crafts - Small at Northgate Community Center,Activity Fee,LLR Class Senior Adult - NE,0,0,Standard charge: Free,Missed out on this workshop last Fall? We're offering it again! Come learn about the different options for wills & trusts this 1 hour class from experts in the industry.,http://apm.activecommunities.com/seattle/Activity_Search/67496
66955,72774,Teen Mock Trial,Winter 2025,Winter 2025: Term 2,Activity,"Academic Preparedness, Career & Cont. Ed",,,5,16,11,1/6/2025,3/26/2025,6:00 PM,8:00 PM,14,0,0,18,0,0,,,M W,,44,22,Jefferson CC Meeting Room at Jefferson Community Center,,,0,0,Free,"Learn public speaking skills, acting, and case analysis through the Jefferson Mock Trial. Participants will experience new skills and challenges, learn to work as a team, and have the opportunity to earn service hours by tutoring each other.",http://apm.activecommunities.com/seattle/Activity_Search/66955
67358,73177,English as a Second Language  - All Levels,Winter 2025,Winter 2025: Term 2,Activity,"Academic Preparedness, Career & Cont. Ed",Adult,,2,9,9,1/14/2025,3/18/2025,9:00 AM,10:30 AM,18,0,0,0,0,0,,,Tu,,30,20,Meadowbrook CC Room 23 - Medium at Meadowbrook Community Center,Activity Fee,MB Class Adult,0,0,Standard charge: Free,"Practice English in a friendly,  relaxed setting and work at a more experienced level over tea and coffee. The  focus will be on conversation, but can also include grammar, reading, and  writing as needed.  Note: There is a children's  table, but parents/guardians must supervise their own children.",http://apm.activecommunities.com/seattle/Activity_Search/67358
67359,73178,English as a Second Language  - All Levels,Winter 2025,Winter 2025: Term 2,Activity,"Academic Preparedness, Career & Cont. Ed",Adult,,2,9,7,1/16/2025,3/20/2025,9:00 AM,10:30 AM,18,0,0,0,0,0,,,Th,,27,18,Meadowbrook CC Room 23 - Medium at Meadowbrook Community Center,Activity Fee,MB Class Adult,0,0,Standard charge: Free,"Practice English in a friendly, relaxed setting and work at a more experienced level over tea and coffee. The focus will be on conversation, but can also include grammar, reading, and writing as needed.  Note: There is a children's table, but parents/guardians must supervise their own children.",http://apm.activecommunities.com/seattle/Activity_Search/67359
69142,74961,English Conversation Circle,Winter 2025,Winter 2025: Term 2,Activity,"Academic Preparedness, Career & Cont. Ed",Adult,,2,Unlimited,2,1/7/2025,3/27/2025,5:30 PM,6:45 PM,18,0,0,0,0,0,,,Tu Th,,28.75,23,Queen Anne CC Game Room at Queen Anne Community Center,,,0,0,Free,"Practice your English speaking and listening  skills with other English Second Language students. At each  meeting we will discuss a topic, play games, and listen to stories. All levels  are welcome. ***No Class March 6th***",http://apm.activecommunities.com/seattle/Activity_Search/69142
67498,73317,Medicare 101,Winter 2025,Winter 2025: Term 2,Activity,"Academic Preparedness, Career & Cont. Ed",Senior,,4,12,12,1/23/2025,3/27/2025,5:30 PM,7:30 PM,50,0,0,0,0,0,,,Th,,6,3,Northgate CC Meeting Room - Small at Northgate Community Center,Activity Fee,LLR Class Senior Adult - NE,0,0,Standard charge: Free,"NEW TIME! Learn Medicare basics, the different premiums and copays in the Medicare and YOU handbook, and discover how to spend even less on healthcare while having more fun! Join us and learn these valuable skills for managing your financial future.",http://apm.activecommunities.com/seattle/Activity_Search/67498
